recordid,nriptr,stratum,cluster,xfact,fips,hydro,mhydro,mlra,bailey,split,impute,impute87,wifact,wcfact,urfact,ukfact,usleflag,s5id,s5name,surftxt,txtmod,loslope,hislope,flood,ophase,tfact
37001030021,216529,37001,3,3,37001,03030002,0303,136,231A,,1,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001030022,216529,37001,3,3,37001,03030002,0303,136,231A,,1,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001030023,216529,37001,3,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001030024,274352,37001,3,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001030025,215428,37001,3,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001030026,214123,37001,3,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001030027,250966,37001,3,14,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,NC0170,GASTON,CL,NON,10,15,NONE,ERODED,4
37001030028,216529,37001,3,14,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001030029,216529,37001,3,5,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001030030,213978,37001,3,17,37001,03030002,0303,136,231A,,0,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,0,10,NONE,0,0
37001030031,213978,37001,3,17,37001,03030002,0303,136,231A,,0,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,0,10,NONE,0,0
37001030032,213978,37001,3,18,37001,03030002,0303,136,231A,,0,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,0,10,NONE,0,0
37001030033,249133,37001,3,17,37001,03030002,0303,136,231A,,0,0,86,0,230,0.28,0,NC0018,CECIL,FSL,NON,2,6,NONE,ERODED,4
37001030034,249424,37001,3,16,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0030,ENON,FSL,NON,2,6,NONE,ERODED,3
37001030035,249138,37001,3,17,37001,03030002,0303,136,231A,,0,0,86,0,230,0.28,0,NC0018,CECIL,FSL,NON,6,10,NONE,ERODED,4
37001030036,274352,37001,3,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001030037,214123,37001,3,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001030038,250113,37001,3,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001030039,215428,37001,3,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001030040,214095,37001,3,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001030041,250974,37001,3,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001030042,274322,37001,3,13,37001,03030002,0303,136,231A,,0,0,48,0,230,0.32,0,SC0016,IREDELL,L,NON,6,10,NONE,ERODED,3
37001030043,249442,37001,3,13,37001,03030002,0303,136,231A,,0,0,56,0,230,0.32,0,NC0030,ENON,L,NON,6,10,NONE,0,3
37001030044,249134,37001,3,13,37001,03030002,0303,136,231A,,0,0,86,0,230,0.28,0,NC0018,CECIL,FSL,NON,2,6,NONE,0,4
37001040001,250275,37001,4,1,37001,03030003,0303,136,231A,,1,2,0,0,230,0.24,0,NC0070,DURHAM,SL,NON,2,6,NONE,0,5
37001040002,215428,37001,4,1,37001,03030003,0303,136,231A,,1,2,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001040003,250974,37001,4,2,37001,03030003,0303,136,231A,,1,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001040004,249587,37001,4,16,37001,03030003,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001040005,249587,37001,4,17,37001,03030003,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001040006,250275,37001,4,17,37001,03030003,0303,136,231A,,0,2,0,0,230,0.24,0,NC0070,DURHAM,SL,NON,2,6,NONE,0,5
37001040007,250426,37001,4,15,37001,03030002,0303,136,231A,,0,0,56,0,230,0.24,0,NC0072,MECKLENBURG,L,NON,10,15,NONE,ERODED,4
37001040008,250275,37001,4,17,37001,03030002,0303,136,231A,,0,0,0,0,230,0.24,0,NC0070,DURHAM,SL,NON,2,6,NONE,0,5
37001040009,250275,37001,4,16,37001,03030002,0303,136,231A,,0,0,0,0,230,0.24,0,NC0070,DURHAM,SL,NON,2,6,NONE,0,5
37001040010,274171,37001,4,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,ERODED,4
37001040011,214123,37001,4,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001040012,274356,37001,4,17,37001,03030002,0303,136,231A,,0,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,6,10,NONE,ERODED,5
